timestamp,station_id,station_name,latitude,longitude,elevation,temperature,humidity,pressure,wind_speed,rain_mm
2024-01-01T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,29.1,70.2,1010.2,16.3,31.3
2024-01-02T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,28.0,75.7,1007.0,12.1,0.0
2024-01-03T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,31.5,76.6,1008.4,11.0,0.0
2024-01-04T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,31.8,74.4,1006.4,8.5,0.0
2024-01-05T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,33.5,74.2,1009.2,16.4,0.0
2024-01-06T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,30.6,71.4,1007.7,5.2,0.0
2024-01-07T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,32.8,75.0,1007.3,16.7,0.0
2024-01-08T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,30.0,75.7,1008.4,10.7,4.6
2024-01-09T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,34.7,73.0,1008.5,10.6,0.0
2024-01-10T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,31.9,73.5,1008.6,16.0,0.0
2024-01-11T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,34.3,76.6,1008.9,3.4,0.0
2024-01-12T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,34.4,76.7,1007.1,17.9,0.0
2024-01-13T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,34.7,72.8,1006.4,16.7,0.0
2024-01-14T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,34.8,82.5,1007.3,3.5,25.5
2024-01-15T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,33.7,73.8,1009.7,5.4,0.0
2024-01-16T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,34.6,72.3,1007.6,9.9,0.0
2024-01-17T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,34.7,71.2,1008.1,5.7,0.0
2024-01-18T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,36.6,69.7,1009.7,16.4,0.0
2024-01-19T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,34.4,75.4,1007.5,2.7,0.0
2024-01-20T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,34.0,68.9,1006.9,10.8,0.0
2024-01-21T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,35.7,74.1,1008.6,8.6,2.7
2024-01-22T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,34.8,77.9,1009.0,7.4,0.0
2024-01-23T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,38.6,69.2,1008.9,11.7,0.0
2024-01-24T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,36.5,71.9,1006.2,2.1,0.0
2024-01-25T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,33.0,75.8,1008.5,6.4,0.4
2024-01-26T12:00:00Z,MAA,Chennai (Meenambakkam),12.9941,80.1709,16.0,31.7,80.2,1009.5,5.5,0.0
